Timestamp;Symbol No 1;Symbol No 2;Symbol No 3;Symbol No 4
100;8220;8220;-16440;8176
200;8176;-16352;8388;8388
300;-16776;8432;8432;-16864
400;8524;8524;-17048;8676
500;8676;-17352;8652;8652
600;-17304;8756;8756;-17512
700;8668;8668;-17336;8840
800;8840;-17680;8872;8872
900;-17744;8892;8892;-17784
1000;8852;8852;-17704;8876
1100;8876;-17752;8912;8912
1200;-17824;8872;8872;-17744
1300;8860;8860;-17720;8872
1400;8872;-17744;8832;8832
1500;-17664;8900;8900;-17800
1600;8900;8900;-17800;8860
1700;8860;-17720;8892;8892
1800;-17784;8928;8928;-17856
1900;8860;8860;-17720;8896
2000;8896;-17792;8896;8896
2100;-17792;8884;8884;-17768
2200;8948;8948;-17896;8880
2300;8880;-17760;8888;8888
2400;-17776;8900;8900;-17800
2500;8876;8876;-17752;8908
2600;8908;-17816;8904;8904
2700;-17808;8840;8840;-17680
2800;8864;8864;-17728;8912
2900;8912;-17824;8852;8852
3000;-17704;8932;8932;-17864
3100;8920;8920;-17840;8904
3200;8904;-17808;8944;8944
3300;-17888;8960;8960;-17920
3400;8892;8892;-17784;8880
3500;8880;-17760;8888;8888
3600;-17776;8936;8936;-17872
3700;8852;8852;-17704;8992
3800;8992;-17984;8924;8924
3900;-17848;8964;8964;-17928
4000;9056;9056;-18112;8956
4100;8956;-17912;8980;8980
4200;-17960;8944;8944;-17888
4300;9384;9384;-18768;8956
4400;8956;-17912;8996;8996
4500;-17992;9020;9020;-18040
4600;9052;9052;-18104;9000
4700;9000;-18000;9112;9112
4800;-18224;9084;9084;-18168
4900;9056;9056;-18112;9120
5000;9120;-18240;9120;9120
5100;-18240;9252;9252;-18504
5200;9168;9168;-18336;9248
5300;9248;-18496;9292;9292
5400;-18584;9308;9308;-18616
5500;9504;9504;-19008;9420
5600;9420;-18840;9556;9556
5700;-19112;9580;9580;-19160
5800;9616;9616;-19232;9692
5900;9692;-19384;9748;9748
6000;-19496;9844;9844;-19688
6100;9916;9916;-19832;10392
6200;10392;-20784;9980;9980
6300;-19960;10008;10008;-20016
6400;10100;10100;-20200;10128
6500;10128;-20256;10124;10124
6600;-20248;10164;10164;-20328
6700;10260;10260;-20520;10260
6800;10260;-20520;10236;10236
6900;-20472;10336;10336;-20672
7000;10368;10368;-20736;10424
7100;10424;-20848;10504;10504
7200;-21008;10444;10444;-20888
7300;10600;10600;-21200;10592
7400;10592;-21184;10700;10700
7500;-21400;10688;10688;-21376
7600;10696;10696;-21392;10796
7700;10796;-21592;10836;10836
7800;-21672;10892;10892;-21784
7900;10936;10936;-21872;10964
8000;10964;-21928;10936;10936
8100;-21872;11048;11048;-22096
8200;11084;11084;-22168;11184
8300;11184;-22368;11120;11120
8400;-22240;11272;11272;-22544
8500;11304;11304;-22608;11324
8600;11324;-22648;11348;11348
8700;-22696;11384;11384;-22768
8800;11492;11492;-22984;11640
8900;11640;-23280;11600;11600
9000;-23200;11580;11580;-23160
9100;11736;11736;-23472;11696
9200;11696;-23392;11804;11804
9300;-23608;11856;11856;-23712
9400;11896;11896;-23792;12052
9500;12052;-24104;12132;12132
9600;-24264;12044;12044;-24088
9700;12148;12148;-24296;12208
9800;12208;-24416;12236;12236
9900;-24472;12344;12344;-24688
10000;12392;12392;-24784;7356
10100;7356;-14712;2932;2932
10200;-5864;2848;2848;-5696
10300;2904;2904;-5808;2880
10400;2880;-5760;2980;2980
10500;-5960;2896;2896;-5792
10600;2908;2908;-5816;2928
10700;2928;-5856;2980;2980
10800;-5960;2896;2896;-5792
10900;2940;2940;-5880;2944
11000;2944;-5888;3012;3012
11100;-6024;2920;2920;-5840
11200;2952;2952;-5904;2956
11300;2956;-5912;2944;2944
